offer,text,price,on_stock,x,y,z,link
buy,16 | Clay,4.0,1.0,-1962,77,513,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1962,77,513;6"
buy,16 | Watermelon Slices,0.5,1.0,-1966,84,519,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1966,84,519;6"
buy,32 | Glowberries,1.0,1.0,-1967,78,518,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1967,78,518;6"
buy,64 | Baked Potatoes,2.5,1.0,-1966,70,518,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1966,70,518;6"
buy,1 | Tiramisu,1.0,1.0,-1962,71,520,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1962,71,520;6"
buy,16 | Cooked Porkchop,2.75,1.0,-1964,70,519,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1964,70,519;6"
buy,16 | Pumpkin Pie,1.5,1.0,-1964,84,519,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1964,84,519;6"
buy,16 | Carrots,0.5,1.0,-1966,84,518,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1966,84,518;6"
buy,1 | Membrane,3.0,1.0,-1976,84,521,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1976,84,521;6"
buy,16 | Birch Leaves,2.5,1.0,-1963,84,519,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1963,84,519;6"
buy,8 | Golden Carrots,7.5,1.0,-1967,79,517,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1967,79,517;6"
buy,32 | Cookies,1.5,1.0,-1962,70,519,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1962,70,519;6"
buy,16 | Steak,2.75,1.0,-1964,70,518,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1964,70,518;6"
buy,32 | Cooked Cod,1.0,1.0,-1964,84,518,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1964,84,518;6"
buy,16 | Apples,4.0,1.0,-1966,84,517,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1966,84,517;6"
buy,64 | Blaze Rods,6.0,1.0,-1976,84,520,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1976,84,520;6"
buy,16 | Dark Oak Leaves,2.5,0.0,-1961,84,519,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1961,84,519;6"
buy,16 | Oak Leaves,2.5,1.0,-1963,84,518,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1963,84,518;6"
buy,64 | Deepslate,1.5,0.0,-1975,79,520,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1975,79,520;6"
buy,32 | Nether Bricks,3.5,1.0,-1975,77,520,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1975,77,520;6"
buy,16 | Enderpearls,4.0,1.0,-1962,69,518,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1962,69,518;6"
buy,16 | Lamb Chop,3.0,1.0,-1964,84,517,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1964,84,517;6"
buy,8 | Nether Quartz,3.5,1.0,-1976,84,519,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1976,84,519;6"
buy,32 | Arrows,0.3,1.0,-1967,77,523,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1967,77,523;6"
buy,16 | Jungle Leaves,2.5,1.0,-1963,84,517,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1963,84,517;6"
buy,16 | Spruce Leaves,2.5,1.0,-1961,84,518,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1961,84,518;6"
buy,64 | Blackstone,3.0,0.0,-1975,79,519,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1975,79,519;6"
buy,64 | Sandstone,1.2,1.0,-1975,77,519,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1975,77,519;6"
buy,1 | Diamond,2.99,1.0,-1967,79,523,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1967,79,523;6"
buy,256 | Bonemeal,0.05,1.0,-1966,77,523,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1966,77,523;6"
buy,32 | Bread,3.5,1.0,-1968,84,522,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1968,84,522;6"
buy,8 | Emeralds,3.99,1.0,-1966,79,523,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1966,79,523;6"
buy,16 | Snowballs,0.75,1.0,-1976,84,518,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1976,84,518;6"
buy,32 | Warped Stem,3.5,1.0,-1967,70,522,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1967,70,522;6"
buy,16 | Lapis Blocks,18.0,1.0,-1965,79,523,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1965,79,523;6"
buy,25 | Gunpowder,8.0,1.0,-1965,77,523,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1965,77,523;6"
buy,16 | Acacia Leaves,2.5,1.0,-1961,84,517,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1961,84,517;6"
buy,16 | Glowstone,7.5,1.0,-1975,79,518,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1975,79,518;6"
buy,32 | Wheat,1.1,1.0,-1967,84,522,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1967,84,522;6"
buy,32 | Endstone Bricks,2.5,1.0,-1975,77,518,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1975,77,518;6"
buy,32 | Birch Log,3.0,1.0,-1966,70,522,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1966,70,522;6"
buy,8 | Copper,1.5,1.0,-1964,79,523,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1964,79,523;6"
buy,16 | Redstone,0.3,1.0,-1964,77,523,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1964,77,523;6"
buy,32 | Watermelon Block,2.0,1.0,-1966,84,522,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1966,84,522;6"
buy,64 | Grass Blocks,2.0,0.0,-1965,70,514,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1965,70,514;6"
buy,32 | Flint,0.5,1.0,-1976,84,517,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1976,84,517;6"
buy,32 | Oak Log,3.0,1.0,-1965,70,522,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1965,70,522;6"
buy,16 | Golden Ingots,24.0,1.0,-1963,79,523,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1963,79,523;6"
buy,8 | Slime Balls,11.0,1.0,-1965,84,514,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1965,84,514;6"
buy,16 | Glowstone Dust,1.0,1.0,-1963,77,523,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1963,77,523;6"
buy,64 | Pumpkins,3.0,1.0,-1965,84,522,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1965,84,522;6"
buy,16 | Magma Block,2.0,1.0,-1975,79,517,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1975,79,517;6"
buy,32 | Endstone,2.0,1.0,-1975,77,517,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1975,77,517;6"
buy,64 | Dirt,1.0,1.0,-1964,70,514,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1964,70,514;6"
buy,32 | Jungle Log,3.0,1.0,-1964,70,522,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1964,70,522;6"
buy,Air | Qty:1 Jar,0.0,0.0,-1965,101,547,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1965,101,547;6"
buy,Orange Glazed | 16,2.0,1.0,-1928,67,523,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1928,67,523;6"
buy,Red Glazed Terr | 16,2.0,1.0,-1928,68,523,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1928,68,523;6"
buy,Yellow Glazed | 16,2.0,0.0,-1928,66,523,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1928,66,523;6"
buy,Quartz Ore | 16,20.0,1.0,-1928,76,523,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1928,76,523;6"
buy,Lapis | 16,2.0,1.0,-1928,74,523,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1928,74,523;6"
buy,Polished Andesite | 64,1.5,1.0,-1924,74,525,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1924,74,525;6"
buy,Blaze rods | 16,2.0,1.0,-1928,78,523,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1928,78,523;6"
buy,Mycelium | 16,3.0,1.0,-1921,68,526,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1921,68,526;6"
buy,Dirt | 64,1.0,0.0,-1921,66,526,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1921,66,526;6"
buy,Cyan Glazed | 16,3.0,1.0,-1926,67,523,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1926,67,523;6"
buy,Green Glazed | 16,3.0,1.0,-1926,68,523,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1926,68,523;6"
buy,Light Blue Glazed | 16,3.0,1.0,-1926,66,523,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1926,66,523;6"
buy,Nether Warts | 32,1.0,0.0,-1925,78,523,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1925,78,523;6"
buy,Captain Set | 1,6.5,0.0,-1925,76,523,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1925,76,523;6"
buy,Invisibility (8min) | 1,2.0,0.0,-1925,74,523,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1925,74,523;6"
buy,Purple Glazed | 16,4.0,1.0,-1924,67,523,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1924,67,523;6"
buy,Blue Glazed | 16,4.0,1.0,-1924,68,523,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1924,68,523;6"
buy,Pink Glazed | 16,3.0,1.0,-1924,66,523,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1924,66,523;6"
buy,Dark Wood | 64,7.0,1.0,-1914,67,527,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1914,67,527;6"
sell,Dark Wood | 64,5.5,1.0,-1914,68,527,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1914,68,527;6"
buy,Light Gray Glazed | 16,2.0,0.0,-1922,67,523,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1922,67,523;6"
buy,Brown Glazed | 16,2.0,1.0,-1922,68,523,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1922,68,523;6"
buy,White Wool | 16,3.0,0.0,-1921,66,523,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1921,66,523;6"
buy,Dark Gray Wool | 16,2.0,1.0,-1921,67,523,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1921,67,523;6"
buy,Brown Wool | 16,2.0,0.0,-1921,68,523,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1921,68,523;6"
sell,Acacia | 64,5.5,1.0,-1914,68,526,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1914,68,526;6"
buy,Acacia | 64,6.5,0.0,-1914,67,526,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1914,67,526;6"
buy,Vines | 16,1.5,1.0,-1913,78,526,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1913,78,526;6"
buy,Mushroom Stew | 1,0.5,1.0,-1913,76,526,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1913,76,526;6"
buy,Eggs | 16,1.0,0.0,-1913,74,526,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1913,74,526;6"
buy,Spruce Wood | 64,7.0,0.0,-1914,67,525,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1914,67,525;6"
sell,Spruce Wood | 64,5.5,1.0,-1914,68,525,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1914,68,525;6"
buy,Stone Brick | 64,0.75,0.0,-1926,74,527,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1926,74,527;6"
sell,Oak Wood | 64,5.5,1.0,-1914,68,524,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1914,68,524;6"
buy,Oak Wood | 64,7.0,0.0,-1914,67,524,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1914,67,524;6"
buy,Clay | 32,2.5,1.0,-1927,74,525,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1927,74,525;6"
buy,Stone | 64,0.75,0.0,-1923,74,527,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1923,74,527;6"
buy,Birch Wood | 64,6.0,0.0,-1914,67,523,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1914,67,523;6"
sell,Birch Wood | 64,5.5,1.0,-1914,68,523,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1914,68,523;6"
buy,Beetroot | 32,1.0,1.0,-1913,74,523,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1913,74,523;6"
buy,Sugar cane | 32,0.5,0.0,-1913,78,523,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1913,78,523;6"
buy,Bread | 32,2.5,0.0,-1913,76,523,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1913,76,523;6"
buy,Glass | 32,2.0,0.0,-1924,74,533,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1924,74,533;6"
buy,1x Wither Rose | Only 16 left!,100.0,1.0,-1921,66,541,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1921,66,541;6"
sell,Jungle Wood | 64,6.0,0.0,-1914,68,528,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1914,68,528;6"
buy,Jungle Wood | 64,7.0,1.0,-1914,67,528,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1914,67,528;6"
